 di-ir-bcp-E-2007-03           
 di-ir-bcp-E-2007-03           
 di-ir-bcp-E-2007-03           
 di-ir-cdp-E-2001-06           
 di-ir-cdp-E-2001-06           
 di-ir-cdp-E-2003-06           
 di-ir-cdp-E-2007-06           
 di-ir-fvrcp-E-2007-03         
 di-ir-iderds-E-2005-12        
 di-ir-iderds-E-2005-12        
 di-ir-iderds-E-2005-12        
 di-ir-iderds-E-2005-12        
 di-ir-nce-E-2007-06-part1     
 di-ir-nce-E-2007-06-part1     
 di-ir-nce-E-2007-06-part2     
 di-ir-rds-E-2007-11           
 Federal2006ExitPolldataNOSOHO 
 Federal2006ExitPolldataNOSOHO 
 Federal2006ExitPolldataNOSOHO 
 Federal2006ExitPolldataNOSOHO 
 ir-1-555-28-E-1992-02         
 ir-1-555-28-E-1992-02         
 ir-1-555-16-E-1990-11         
 ir-1-555-16-E-1990-11         
 ir-1-555-16-E-1990-11         
 ir-1-555-16-E-1990-11         
 ir-1-555-18-E-1991-01         
 ir-1-555-19-E-1991-02         
 ir-1-555-19-E-1991-02         
 ir-1-555-19-E-1991-02         
 ir-1-555-20-E-1991-03         
 ir-1-555-21-E-1991-05         
 ir-1-555-21-E-1991-05         
 ir-1-555-21-E-1991-05         
 ir-1-555-22-E-1991-07         
 ir-1-555-22-E-1991-07         
 ir-1-555-24-E-1991-10         
 ir-1-555-24-E-1991-10         
 ir-1-555-25-E-1991-11         
 ir-1-555-25-E-1991-11         
 ir-1-555-25-E-1991-11         
 ir-1-555-26-E-1991-12         
 ir-1-555-26-E-1991-12         
 ir-1-555-27-E-1992-01         
 ir-1-555-29-E-1992-03         
 ir-1-555-31-E-1992-05         
 ir-1-555-32-E-1992-06         
 ir-1-555-33-E-1992-07         
 ir-1-555-33-E-1992-07         
 ir-1-555-34-E-1992-08         
 ir-1-555-35-E-1992-09         
 ir-1-555-36-E-1992-10         
 ir-1-555-36-E-1992-10         
 ir-1-555-37-E-1992-11         
 ir-1-555-37-E-1992-11         
 ir-1-555-39-E-1993-01         
 ir-1-555-40-E-1993-01         
 ir-1-555-40-E-1993-01         
 ir-1-555-40-E-1993-01         
 ir-1-555-40-E-1993-01         
 ir-1-555-41-E-1993-02         
 ir-1-555-41-E-1993-02         
 ir-1-555-42-E-1993-03         
 ir-1-555-42-E-1993-03         
 ir-1-555-42-E-1993-03         
 ir-1-555-42-E-1993-03         
 ir-1-555-43-E-1993-04         
 ir-1-555-43-E-1993-04         
 ir-1-555-43-E-1993-04         
 ir-1-555-43-E-1993-04         
 ir-1-555-44-E-1993-05         
 ir-1-555-45-E-1993-06         
 ir-1-555-45-E-1993-06         
 ir-1-555-45-E-1993-06         
 ir-1-555-45-E-1993-06         
 ir-1-555-46-E-1993-07         
 ir-1-555-47-E-1993-10         
 ir-1-555-48-E-1993-10         
 ir-1-555-56-E-1994-03         
 ir-1-555-56-E-1994-03         
 ir-1-555-56-E-1994-03         
 ir-1-555-56-E-1994-03         
 ir-1-555-57-E-1994-04         
 ir-1-555-58-E-1994-05         
 ir-1-555-58-E-1994-05         
 ir-1-555-58-E-1994-05         
 ir-1-555-58-E-1994-05         
 ir-1-555-59-E-1994-06         
 ir-1-555-59-E-1994-06         
 ir-1-555-59-E-1994-06         
 ir-1-555-59-E-1994-06         
 ir-1-555-59-E-1994-06         
 ir-1-555-60-E-1994-07         
 ir-1-555-60-E-1994-07         
 ir-1-555-61-E-1994-08         
 ir-1-555-61-E-1994-08         
 ir-1-555-62-E-1994-09         
 ir-1-555-62-E-1994-09         
 ir-1-555-62-E-1994-09         
 ir-1-555-63-E-1994-10         
 ir-1-555-63-E-1994-10         
 ir-1-555-64-E-1994            
 ir-1-555-64-E-1994            
 ir-1-555-64-E-1994            
 ir-1-555-65-E-1994-11         
 ir-1-555-65-E-1994-11         
 ir-1-555-65-E-1994-11         
 ir-1-555-66-E-1994-11         
 ir-1-555-66-E-1994-11         
 ir-1-555-66-E-1994-11         
 ir-1-555-67-E-1994-12         
 ir-1-555-67-E-1994-12         
 ir-1-555-67-E-1994-12         
 ir-1-555-68-E-1995-01         
 ir-1-555-68-E-1995-01         
 ir-1-555-68-E-1995-01         
 ir-1-555-68-E-1995-01         
 ir-1-555-68-E-1995-01         
 ir-1-555-68-E-1995-01         
 ir-1-555-69-E-1995-01         
 ir-1-555-69-E-1995-01         
 ir-1-555-69-E-1995-01         
 ir-1-555-70-E-1995-02         
 ir-1-555-70-E-1995-02         
 ir-1-555-70-E-1995-02         
 ir-1-555-71-E-1995-03         
 ir-1-555-71-E-1995-03         
 ir-1-555-71-E-1995-03         
 ir-1-555-71-E-1995-03         
 ir-1-555-72-E-1995-04         
 ir-1-555-72-E-1995-04         
 ir-1-555-72-E-1995-04         
 ir-1-555-72-E-1995-04         
 ir-1-555-73-E-1995-05         
 ir-1-555-73-E-1995-05         
 ir-1-555-73-E-1995-05         
 ir-1-555-73-E-1995-05         
 ir-1-555-74-E-1995-06         
 ir-1-555-74-E-1995-06         
 ir-1-555-74-E-1995-06         
 ir-1-555-77-E-1995-09         
 ir-1-555-77-E-1995-09         
 ir-1-555-77-E-1995-09         
 ir-1-555-78-E-1995-10         
 ir-1-555-78-E-1995-10         
 ir-1-555-78-E-1995-10         
 ir-1-555-79-E-1995-11         
 ir-1-555-79-E-1995-11         
