 26M 21:05 STC-95M0012XCB-F-1996-Fichierdesfamilles
 26M 19:17 escc-82M0013-F-2005-cycle3-HS
 26M 14:13 cchs-82M0013-E-2005-c3-1-main-file
 25M 21:18 STC-95M0020XCB-F-2001-Fichierdesmnagesetdulogement
 25M 20:47 pumf-95M0020-E-2001-households
 25M 18:38 ECTAD-82M0020-F-2015-personne-bootstrap-revise
 25M 19:43 gss-12M0018-E-2004-c-18-m
 24M 20:49 pumf-95M00-E-1991-families
 24M 18:33 dfo-E-1995-ced
 24M 20:24 lfs-71M0001XCB-E-1981
 24M 18:33 dfo-E-1996-ced
 23M 18:35 ecae-89M0025-F-2017
 23M 18:50 eics-89M0025-E-2017
 23M 21:03 stc-95M0004GF-F-1981-particuliers
 23M 20:49 pumf-95M00-E-1981-individual
 22M 18:51 elca-89M0016XCB-F-2003
 22M 20:46 pumf-95M0011-E-1996-households
 22M 21:04 STC-95M0011XCB-F-1996-Fichierdesmnagesetdulogement
 22M 13:40 all-89M0016-E-2003
 22M 19:19 escc-82M0013-F-2017-2018-composante-annuelle
 22M 15:18 cchs-82M0013-E-2017-2018-Annual-component
 21M 20:51 recensement-98M0002-F-2016-hierarchique
 21M 20:51 pumf-98M0002-E-2016-hierarchical
 21M 18:31 dfo-E-1987-ced
 21M 20:04 its-66M00010-E-1990-2000-ctu
 21M 20:38 lmas-71F0001-E-1988-1990j
 21M 18:32 dfo-E-1988-ced
 20M 18:32 dfo-E-1989-ced
 20M 19:58 imtd-E-2007-exp
 20M 19:58 imtd-E-2006-exp
 20M 20:48 pumf-95M0029-E-2006-hierarchical
 20M 21:28 stc-95M0029-2006-fichier-hierarchique
 20M 18:32 dfo-E-1990-ced
 20M 13:42 all-89M0016X-E-2003
 20M 19:59 imtd-E-2008-exp
 19M 19:58 imtd-E-2005-exp
 19M 20:45 pumf-95M0008-E-1991-households
 19M 19:16 escc-82C0024-F-2001-c1-1
 19M 13:58 cchs-82M0013-E-2001-c1-1-general-file
 19M 20:03 imtd-E-2012-exp
 19M 20:01 imtd-E-2010-exp
 19M 20:38 lfs-SN2875-E-1991
 18M 19:57 imtd-E-2004-exp
 18M 19:19 escc-82M0024-F-2015-nu-fid
 18M 15:40 cchs-82M0024-E-2015-nu-side
 17M 18:13 citd-E-2003-exp
 17M 18:50 eiaa-89M0022-F-2003
 17M 19:56 ials-89M0016-E
 17M 18:37 ECR-F-2018
 17M 16:23 CIS-72M0003-E-2018
 17M 19:18 escc-82M0013-F-2010-composante-annuel
 17M 14:36 CCHS-82M0013-E-2010-AnnualComponent
 16M 18:37 ecr2017-72M0003-F-2017
 16M 16:22 CIS-72M0003-E-2017
 16M 19:18 escc-82M0013-F-2012-composante-annuelle
 16M 14:50 cchs-82M0013-E-2012-Annual-component
 16M 18:02 citd-E-2002-exp
 16M 18:54 enm-99M0002-F-2011-hierarchique
 16M 20:41 NHS-99M002X-E-2011-pumf-hierarchical
 16M 20:04 its-66M00010-E-1990-2000-rtc
 15M 17:53 citd-E-2001-exp
 15M 19:18 escc-82M0013-F-2014-composante-annuelle
 15M 15:05 cchs-82M0013-E-2014-Annual-component
 15M 17:43 citd-E-2000-exp
 14M 19:43 gss-12M0018-E-2009-c-23-vif
 14M 17:34 citd-E-1999-exp
 13M 20:42 nphs-82M0009-E-1996-97-h
 13M 18:54 ensp-82M0009GPE-F-1996-1997-composantemenage-fichiersante
 13M 21:03 STC2528F-fichierdesparticuliers
 13M 20:49 pumf-95M00-E-1986-individuals
 13M 17:24 citd-E-1998-exp
 13M 17:16 citd-E-1997-exp
 13M 15:38 cchs-82M0024-E-2015-nu-nci
 13M 21:54 synthetic-nphs-lngf-3225-E-19986-1999-c-3
 12M 17:09 citd-E-1996-exp
 12M 17:02 citd-E-1995-exp
 12M 19:56 ialss-89617XIE-E-2003-update
 11M 19:45 gss-12M0018-E-2014-c-28-vif
 11M 19:23 esg-12M0018-F-2014-c-28-vfi
